2025-03-16 21:19:25.374: metrics:	 acc	 nmi	 ari	 f1
2025-03-16 21:19:36.852: epoch53 Q1:	0.8112	0.5225	0.5727	0.8068
2025-03-16 21:19:37.074: epoch54 Q1:	0.8117	0.5212	0.5739	0.8069
2025-03-16 21:19:37.301: epoch55 Q1:	0.8117	0.5192	0.5737	0.8068
2025-03-16 21:19:37.523: epoch56 Q1:	0.8117	0.5171	0.5735	0.8066
2025-03-16 21:19:37.752: epoch57 Q1:	0.8117	0.5169	0.5741	0.8064
2025-03-16 21:19:37.976: epoch58 Q1:	0.8107	0.5150	0.5724	0.8053
2025-03-16 21:19:38.199: epoch59 Q1:	0.8119	0.5176	0.5750	0.8065
2025-03-16 21:19:38.421: epoch60 Q1:	0.8119	0.5181	0.5751	0.8065
2025-03-16 21:19:38.644: epoch61 Q1:	0.8102	0.5157	0.5723	0.8046
2025-03-16 21:19:38.866: epoch62 Q1:	0.8082	0.5140	0.5690	0.8024
2025-03-16 21:19:39.093: epoch63 Q1:	0.8077	0.5147	0.5679	0.8021
2025-03-16 21:19:39.318: epoch64 Q1:	0.8070	0.5146	0.5662	0.8015
2025-03-16 21:19:39.542: epoch65 Q1:	0.8085	0.5181	0.5690	0.8031
2025-03-16 21:19:39.764: epoch66 Q1:	0.8080	0.5165	0.5682	0.8024
2025-03-16 21:19:39.989: epoch67 Q1:	0.8087	0.5177	0.5696	0.8031
2025-03-16 21:19:40.212: epoch68 Q1:	0.8090	0.5173	0.5703	0.8033
2025-03-16 21:19:40.431: epoch69 Q1:	0.8095	0.5174	0.5714	0.8036
2025-03-16 21:19:40.655: epoch70 Q1:	0.8107	0.5181	0.5740	0.8047
2025-03-16 21:19:40.880: epoch71 Q1:	0.8114	0.5190	0.5753	0.8055
2025-03-16 21:19:41.105: epoch72 Q1:	0.8144	0.5244	0.5811	0.8084
2025-03-16 21:19:41.329: epoch73 Q1:	0.8141	0.5238	0.5805	0.8082
2025-03-16 21:19:41.551: epoch74 Q1:	0.8132	0.5232	0.5779	0.8077
2025-03-16 21:19:41.772: epoch75 Q1:	0.8139	0.5255	0.5790	0.8087
2025-03-16 21:19:41.990: epoch76 Q1:	0.8129	0.5247	0.5767	0.8079
2025-03-16 21:19:42.211: epoch77 Q1:	0.8112	0.5241	0.5738	0.8062
2025-03-16 21:19:42.430: epoch78 Q1:	0.8080	0.5196	0.5674	0.8031
2025-03-16 21:19:42.655: epoch79 Q1:	0.8087	0.5211	0.5685	0.8040
2025-03-16 21:19:42.878: epoch80 Q1:	0.8090	0.5222	0.5694	0.8042
2025-03-16 21:19:43.107: epoch81 Q1:	0.8092	0.5222	0.5699	0.8044
2025-03-16 21:19:43.326: epoch82 Q1:	0.8109	0.5246	0.5731	0.8062
2025-03-16 21:19:43.544: epoch83 Q1:	0.8117	0.5259	0.5748	0.8068
2025-03-16 21:19:43.760: epoch84 Q1:	0.8122	0.5267	0.5759	0.8072
2025-03-16 21:19:43.977: epoch85 Q1:	0.8144	0.5297	0.5798	0.8095
2025-03-16 21:19:44.195: epoch86 Q1:	0.8156	0.5297	0.5820	0.8107
2025-03-16 21:19:44.419: epoch87 Q1:	0.8164	0.5297	0.5831	0.8114
2025-03-16 21:19:44.637: epoch88 Q1:	0.8151	0.5266	0.5811	0.8099
2025-03-16 21:19:44.852: epoch89 Q1:	0.8161	0.5284	0.5833	0.8108
2025-03-16 21:19:45.067: epoch90 Q1:	0.8156	0.5274	0.5832	0.8100
2025-03-16 21:19:45.280: epoch91 Q1:	0.8161	0.5284	0.5847	0.8102
2025-03-16 21:19:45.499: epoch92 Q1:	0.8154	0.5266	0.5835	0.8094
2025-03-16 21:19:45.719: epoch93 Q1:	0.8151	0.5267	0.5829	0.8092
2025-03-16 21:19:45.937: epoch94 Q1:	0.8151	0.5277	0.5832	0.8092
2025-03-16 21:19:46.154: epoch95 Q1:	0.8146	0.5270	0.5823	0.8087
2025-03-16 21:19:46.372: epoch96 Q1:	0.8149	0.5279	0.5830	0.8089
2025-03-16 21:19:46.586: epoch97 Q1:	0.8146	0.5279	0.5827	0.8086
2025-03-16 21:19:46.801: epoch98 Q1:	0.8137	0.5273	0.5813	0.8076
2025-03-16 21:19:47.019: epoch99 Q1:	0.8127	0.5263	0.5797	0.8065
2025-03-16 21:19:47.239: epoch100 Q1:	0.8117	0.5245	0.5778	0.8054
2025-03-16 21:19:47.457: epoch101 Q1:	0.8117	0.5236	0.5778	0.8053
2025-03-16 21:19:47.671: epoch102 Q1:	0.8109	0.5222	0.5763	0.8045
2025-03-16 21:19:47.884: epoch103 Q1:	0.8119	0.5238	0.5779	0.8057
2025-03-16 21:19:48.097: epoch104 Q1:	0.8109	0.5225	0.5761	0.8047
2025-03-16 21:19:48.308: epoch105 Q1:	0.8109	0.5226	0.5761	0.8047
2025-03-16 21:19:48.520: epoch106 Q1:	0.8114	0.5235	0.5772	0.8052
2025-03-16 21:19:48.731: epoch107 Q1:	0.8124	0.5248	0.5792	0.8060
2025-03-16 21:19:48.944: epoch108 Q1:	0.8127	0.5250	0.5798	0.8063
2025-03-16 21:19:49.155: epoch109 Q1:	0.8124	0.5241	0.5787	0.8063
2025-03-16 21:19:49.365: epoch110 Q1:	0.8129	0.5249	0.5796	0.8068
2025-03-16 21:19:49.581: epoch111 Q1:	0.8134	0.5260	0.5802	0.8076
2025-03-16 21:19:49.795: epoch112 Q1:	0.8132	0.5257	0.5794	0.8075
2025-03-16 21:19:50.005: epoch113 Q1:	0.8127	0.5248	0.5783	0.8070
2025-03-16 21:19:50.214: epoch114 Q1:	0.8139	0.5280	0.5811	0.8082
2025-03-16 21:19:50.422: epoch115 Q1:	0.8132	0.5266	0.5791	0.8076
2025-03-16 21:19:50.633: epoch116 Q1:	0.8137	0.5279	0.5804	0.8080
2025-03-16 21:19:50.844: epoch117 Q1:	0.8137	0.5276	0.5804	0.8080
2025-03-16 21:19:51.053: epoch118 Q1:	0.8134	0.5272	0.5802	0.8076
2025-03-16 21:19:51.263: epoch119 Q1:	0.8137	0.5276	0.5808	0.8078
2025-03-16 21:19:51.473: epoch120 Q1:	0.8146	0.5284	0.5827	0.8086
2025-03-16 21:19:51.683: epoch121 Q1:	0.8127	0.5241	0.5789	0.8065
2025-03-16 21:19:51.889: epoch122 Q1:	0.8146	0.5276	0.5830	0.8085
2025-03-16 21:19:52.097: epoch123 Q1:	0.8154	0.5274	0.5837	0.8093
2025-03-16 21:19:52.304: epoch124 Q1:	0.8156	0.5276	0.5841	0.8096
2025-03-16 21:19:52.510: epoch125 Q1:	0.8164	0.5292	0.5854	0.8105
2025-03-16 21:19:52.717: epoch126 Q1:	0.8161	0.5289	0.5845	0.8104
2025-03-16 21:19:52.923: epoch127 Q1:	0.8141	0.5252	0.5803	0.8086
2025-03-16 21:19:53.131: epoch128 Q1:	0.8156	0.5281	0.5834	0.8100
2025-03-16 21:19:53.339: epoch129 Q1:	0.8161	0.5284	0.5843	0.8104
2025-03-16 21:19:53.547: epoch130 Q1:	0.8169	0.5297	0.5863	0.8109
2025-03-16 21:19:53.757: epoch131 Q1:	0.8176	0.5312	0.5879	0.8116
2025-03-16 21:19:53.967: epoch132 Q1:	0.8186	0.5334	0.5901	0.8125
2025-03-16 21:19:54.173: epoch133 Q1:	0.8183	0.5330	0.5895	0.8123
2025-03-16 21:19:54.381: epoch134 Q1:	0.8186	0.5334	0.5899	0.8125
2025-03-16 21:19:54.588: epoch135 Q1:	0.8188	0.5336	0.5902	0.8128
2025-03-16 21:19:54.796: epoch136 Q1:	0.8193	0.5342	0.5910	0.8134
2025-03-16 21:19:55.004: epoch137 Q1:	0.8181	0.5325	0.5887	0.8121
2025-03-16 21:19:55.210: epoch138 Q1:	0.8154	0.5302	0.5839	0.8093
2025-03-16 21:19:55.415: epoch139 Q1:	0.8134	0.5271	0.5800	0.8074
2025-03-16 21:19:55.620: epoch140 Q1:	0.8134	0.5278	0.5797	0.8075
2025-03-16 21:19:55.827: epoch141 Q1:	0.8132	0.5278	0.5796	0.8072
2025-03-16 21:19:56.031: epoch142 Q1:	0.8124	0.5269	0.5782	0.8064
2025-03-16 21:19:56.237: epoch143 Q1:	0.8129	0.5280	0.5792	0.8070
2025-03-16 21:19:56.445: epoch144 Q1:	0.8144	0.5296	0.5818	0.8085
2025-03-16 21:19:56.651: epoch145 Q1:	0.8161	0.5330	0.5852	0.8102
2025-03-16 21:19:56.857: epoch146 Q1:	0.8164	0.5329	0.5856	0.8105
2025-03-16 21:19:57.064: epoch147 Q1:	0.8166	0.5310	0.5858	0.8106
2025-03-16 21:19:57.269: epoch148 Q1:	0.8139	0.5251	0.5812	0.8077
2025-03-16 21:19:57.478: epoch149 Q1:	0.8151	0.5265	0.5827	0.8091
2025-03-16 21:19:57.685: epoch150 Q1:	0.8159	0.5283	0.5842	0.8100
2025-03-16 21:19:57.891: epoch151 Q1:	0.8159	0.5282	0.5839	0.8101
2025-03-16 21:19:58.097: epoch152 Q1:	0.8161	0.5290	0.5846	0.8104
2025-03-16 21:19:58.305: epoch153 Q1:	0.8154	0.5284	0.5836	0.8096
2025-03-16 21:19:58.511: epoch154 Q1:	0.8149	0.5274	0.5823	0.8092
2025-03-16 21:19:58.718: epoch155 Q1:	0.8137	0.5251	0.5797	0.8080
2025-03-16 21:19:58.924: epoch156 Q1:	0.8139	0.5265	0.5806	0.8082
2025-03-16 21:19:59.130: epoch157 Q1:	0.8141	0.5272	0.5814	0.8083
2025-03-16 21:19:59.336: epoch158 Q1:	0.8134	0.5256	0.5798	0.8076
2025-03-16 21:19:59.547: epoch159 Q1:	0.8141	0.5263	0.5810	0.8084
2025-03-16 21:19:59.754: epoch160 Q1:	0.8154	0.5274	0.5832	0.8097
2025-03-16 21:19:59.963: epoch161 Q1:	0.8178	0.5301	0.5871	0.8124
2025-03-16 21:20:00.170: epoch162 Q1:	0.8186	0.5304	0.5883	0.8131
2025-03-16 21:20:00.377: epoch163 Q1:	0.8193	0.5318	0.5898	0.8139
2025-03-16 21:20:00.585: epoch164 Q1:	0.8188	0.5308	0.5887	0.8134
2025-03-16 21:20:00.792: epoch165 Q1:	0.8181	0.5297	0.5873	0.8127
2025-03-16 21:20:01.001: epoch166 Q1:	0.8161	0.5282	0.5843	0.8106
2025-03-16 21:20:01.210: epoch167 Q1:	0.8146	0.5255	0.5815	0.8090
2025-03-16 21:20:01.419: epoch168 Q1:	0.8149	0.5272	0.5821	0.8092
2025-03-16 21:20:01.628: epoch169 Q1:	0.8154	0.5283	0.5832	0.8096
2025-03-16 21:20:01.838: epoch170 Q1:	0.8154	0.5283	0.5831	0.8096
2025-03-16 21:20:02.048: epoch171 Q1:	0.8151	0.5278	0.5827	0.8093
2025-03-16 21:20:02.259: epoch172 Q1:	0.8154	0.5283	0.5833	0.8096
2025-03-16 21:20:02.468: epoch173 Q1:	0.8146	0.5267	0.5817	0.8089
2025-03-16 21:20:02.677: epoch174 Q1:	0.8144	0.5262	0.5814	0.8086
2025-03-16 21:20:02.887: epoch175 Q1:	0.8139	0.5252	0.5803	0.8082
2025-03-16 21:20:03.097: epoch176 Q1:	0.8146	0.5265	0.5815	0.8090
2025-03-16 21:20:03.306: epoch177 Q1:	0.8146	0.5266	0.5815	0.8090
2025-03-16 21:20:03.517: epoch178 Q1:	0.8144	0.5262	0.5809	0.8088
2025-03-16 21:20:03.730: epoch179 Q1:	0.8141	0.5258	0.5804	0.8085
2025-03-16 21:20:03.940: epoch180 Q1:	0.8144	0.5263	0.5810	0.8087
2025-03-16 21:20:04.150: epoch181 Q1:	0.8154	0.5287	0.5830	0.8096
2025-03-16 21:20:04.361: epoch182 Q1:	0.8156	0.5298	0.5840	0.8097
2025-03-16 21:20:04.572: epoch183 Q1:	0.8156	0.5299	0.5840	0.8097
2025-03-16 21:20:04.780: epoch184 Q1:	0.8141	0.5264	0.5806	0.8084
2025-03-16 21:20:04.993: epoch185 Q1:	0.8124	0.5238	0.5772	0.8067
2025-03-16 21:20:05.203: epoch186 Q1:	0.8122	0.5241	0.5767	0.8065
2025-03-16 21:20:05.413: epoch187 Q1:	0.8127	0.5254	0.5776	0.8071
2025-03-16 21:20:05.624: epoch188 Q1:	0.8124	0.5248	0.5771	0.8069
2025-03-16 21:20:05.834: epoch189 Q1:	0.8134	0.5262	0.5789	0.8079
2025-03-16 21:20:06.046: epoch190 Q1:	0.8132	0.5256	0.5786	0.8076
2025-03-16 21:20:06.260: epoch191 Q1:	0.8141	0.5268	0.5803	0.8086
2025-03-16 21:20:06.470: epoch192 Q1:	0.8146	0.5274	0.5816	0.8090
2025-03-16 21:20:06.682: epoch193 Q1:	0.8146	0.5273	0.5815	0.8091
2025-03-16 21:20:06.895: epoch194 Q1:	0.8156	0.5289	0.5838	0.8099
2025-03-16 21:20:07.110: epoch195 Q1:	0.8159	0.5292	0.5844	0.8101
2025-03-16 21:20:07.323: epoch196 Q1:	0.8161	0.5294	0.5849	0.8102
2025-03-16 21:20:07.537: epoch197 Q1:	0.8151	0.5283	0.5832	0.8091
2025-03-16 21:20:07.749: epoch198 Q1:	0.8144	0.5276	0.5818	0.8084
2025-03-16 21:20:07.962: epoch199 Q1:	0.8132	0.5256	0.5794	0.8072
